, 1, 2, 4, 8, 16, 32, 64, 128, 256, 512
PLAIN_UNCOMPRESSED, 2374808.65, 2077784.78, 2202894.81, 2327766.00, 2298624.40, 2198306.51, 2315317.54, 2215906.82, 2103111.62, 2203167.87
PLAIN_SNAPPY, 2204353.32, 2103942.32, 2252035.09, 2287881.37, 2310940.00, 2338415.18, 2278967.65, 2145163.03, 2207480.13, 2113286.60
PLAIN_LZ4, 2179585.47, 2216687.67, 2258167.33, 2373456.88, 2106336.26, 2269594.82, 2262699.05, 2315208.60, 2104474.16, 2222352.02
PLAIN_GZIP, 2348391.08, 2132985.97, 2349078.51, 2306384.25, 2276344.82, 2310628.30, 2150294.80, 2254174.94, 2306087.80, 2357478.92
